gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1322539680	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/3ec1910dd-7828-422a-9c2e-8abe692c78e1	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		KR			PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862													5219420	5219416	PRESERVED_SPECIMEN	USNM	Mammals	188638	4388	Helgen, Kristofer M., University of Adelaide (AUSTRALIA)		CC0_1_0		P. Jouy			2021-02-27T10:50:27.048Z	StillImage	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1322334152	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/3e3010945-9331-4ba8-98dd-8daa1db481a5	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		ZZ			PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862									1940-01-15T00:00:00	15	1	1940	5219420	5219416	PRESERVED_SPECIMEN	USNM	Mammals	269320	NZP 8114	Helgen, Kristofer M., University of Adelaide (AUSTRALIA)		CC0_1_0		Collector Unknown			2021-02-27T10:50:20.183Z	StillImage	CONTINENT_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1322287375	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/3e0f352e0-ae19-4ac8-bc9f-f60dfa7c7d67	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		KR			PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862									1904-01-01T00:00:00			1904	5219420	5219416	PRESERVED_SPECIMEN	USNM	Mammals	143191	No Number	Helgen, Kristofer M., University of Adelaide (AUSTRALIA)		CC0_1_0		W. Smith			2021-02-27T10:50:29.288Z	StillImage	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1321491587	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/3bdab9dcc-50d6-4464-9daa-cbab2d7fc6d3	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		ZZ			PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862									1919-05-06T00:00:00	6	5	1919	5219420	5219416	PRESERVED_SPECIMEN	USNM	Mammals	220265	NZP 2512			CC0_1_0		Collector Unknown			2021-02-27T10:50:55.945Z	StillImage	CONTINENT_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1321455675	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/3bc152f00-3417-4944-89b2-6392e330b254	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		ZZ			PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862									1923-07-26T00:00:00	26	7	1923	5219420	5219416	PRESERVED_SPECIMEN	USNM	Mammals	239445	NZP 2720	Helgen, Kristofer M., University of Adelaide (AUSTRALIA)		CC0_1_0		Collector Unknown			2021-02-27T10:51:07.422Z	StillImage	CONTINENT_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1320948412	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/3a5b0d1de-cc01-4fe6-99be-6c1e26286e31	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		ZZ			PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862									1923-08-05T00:00:00	5	8	1923	5219420	5219416	PRESERVED_SPECIMEN	USNM	Mammals	239450	NZP 2723	Helgen, Kristofer M., University of Adelaide (AUSTRALIA)		CC0_1_0		Collector Unknown			2021-02-27T10:50:58.406Z	StillImage	CONTINENT_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1320088944	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/37faad4ca-e5c8-4f16-ae59-64fcab65a536	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		ZZ			PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862													5219420	5219416	PRESERVED_SPECIMEN	USNM	Mammals	399556	No Number			CC0_1_0		Collector Unknown			2021-02-27T10:51:01.077Z	StillImage	CONTINENT_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1319226368	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/3598ad202-c9e5-4287-82fb-0648944372ee	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		ZZ			PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862									1930-02-07T00:00:00	7	2	1930	5219420	5219416	PRESERVED_SPECIMEN	USNM	Mammals	254977	NZP 3599	Helgen, Kristofer M., University of Adelaide (AUSTRALIA)		CC0_1_0		Collector Unknown			2021-02-27T10:50:53.368Z	StillImage	CONTINENT_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1318954782	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/34d7f8b9f-3816-4b92-94c9-1bf843db955f	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		ZZ			PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862									1919-12-24T00:00:00	24	12	1919	5219420	5219416	PRESERVED_SPECIMEN	USNM	Mammals	221016	NZP 2532			CC0_1_0		Collector Unknown			2021-02-27T10:51:02.888Z	StillImage	CONTINENT_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1318730022	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/34390a5fe-d701-4338-be59-b20d0fad0a5e	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		ZZ			PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862									1927-03-12T00:00:00	12	3	1927	5219420	5219416	PRESERVED_SPECIMEN	USNM	Mammals	251789	NZP 3128	Helgen, Kristofer M., University of Adelaide (AUSTRALIA)		CC0_1_0		Collector Unknown			2021-02-27T10:50:43.980Z	StillImage	CONTINENT_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1318626354	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/33efb726c-6c63-4b14-8ec6-e139e0c2c829	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		KR			PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862									1904-01-01T00:00:00			1904	5219420	5219416	PRESERVED_SPECIMEN	USNM	Mammals	A49798	No Number	Helgen, Kristofer M., University of Adelaide (AUSTRALIA)		CC0_1_0		W. Smith			2021-02-27T10:50:42.864Z	StillImage	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1318148832	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/329d7f357-fa62-4b20-baef-0c8029cecf52	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		KR			PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862									1904-01-01T00:00:00			1904	5219420	5219416	PRESERVED_SPECIMEN	USNM	Mammals	A49797	No Number	Helgen, Kristofer M., University of Adelaide (AUSTRALIA)		CC0_1_0		W. Smith			2021-02-27T10:50:53.287Z	StillImage	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1317474780	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/30c11ccf3-f9c6-4b79-80f7-c42d8f0cd184	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		KR			PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862									1904-01-01T00:00:00			1904	5219420	5219416	PRESERVED_SPECIMEN	USNM	Mammals	A49799	No Number	Helgen, Kristofer M., University of Adelaide (AUSTRALIA)		CC0_1_0		W. Smith			2021-02-27T10:50:07.454Z	StillImage	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1275220827	3959ee49-7678-4a88-9049-5dfc55ccebf3	http://coldb.mnhn.fr/catalognumber/mnhn/zm/mo-1995-309	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica Temminck, 1844	Temminck, 1844		Ménagerie du Jardin des Plantes	Île-de-France	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													5219420	5219416	PRESERVED_SPECIMEN	MNHN	ZM	MO-1995-309				CC_BY_4_0					2021-03-03T11:40:58.803Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
1275220825	3959ee49-7678-4a88-9049-5dfc55ccebf3	http://coldb.mnhn.fr/catalognumber/mnhn/zm/mo-1995-308	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica Temminck, 1844	Temminck, 1844		Ménagerie du Jardin des Plantes	Île-de-France	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													5219420	5219416	PRESERVED_SPECIMEN	MNHN	ZM	MO-1995-308				CC_BY_4_0					2021-03-03T11:40:58.802Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
1275220823	3959ee49-7678-4a88-9049-5dfc55ccebf3	http://coldb.mnhn.fr/catalognumber/mnhn/zm/mo-1995-310	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica Temminck, 1844	Temminck, 1844		Ménagerie du Jardin des Plantes	Île-de-France	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													5219420	5219416	PRESERVED_SPECIMEN	MNHN	ZM	MO-1995-310				CC_BY_4_0					2021-03-03T11:40:58.823Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
