gbifID,species,infraspecificEpithet,scientificName,decimalLatitude,decimalLongitude,
2626147769,Panthera tigris,tigris,Panthera tigris tigris,11.744942,76.507549,
2619916469,Panthera tigris,tigris,Panthera tigris tigris,29.54346,79.004941,
2619895735,Panthera tigris,tigris,Panthera tigris tigris,29.572458,79.009876,
2611348120,Panthera tigris,tigris,Panthera tigris tigris,26.08676,76.447868,
2611134008,Panthera tigris,tigris,Panthera tigris tigris,29.497744,78.732211,
2610966008,Panthera tigris,tigris,Panthera tigris tigris,26.108538,76.410218,
2609212175,Panthera tigris,tigris,Panthera tigris tigris,25.864424,76.261552,
2609079018,Panthera tigris,tigris,Panthera tigris tigris,24.611686,79.935024,
2598684278,Panthera tigris,tigris,Panthera tigris tigris,21.762953,79.339111,
2598681673,Panthera tigris,tigris,Panthera tigris tigris,26.027479,76.455574,
2598680750,Panthera tigris,tigris,Panthera tigris tigris,26.577532,93.17112,
2598678173,Panthera tigris,tigris,Panthera tigris tigris,20.207874,79.346527,
2598678168,Panthera tigris,tigris,Panthera tigris tigris,20.357914,79.310318,
2598677671,Panthera tigris,tigris,Panthera tigris tigris,20.357719,79.310585,
2598677603,Panthera tigris,tigris,Panthera tigris tigris,20.360592,79.322388,
2598677602,Panthera tigris,tigris,Panthera tigris tigris,20.230484,79.38134,
2598674606,Panthera tigris,tigris,Panthera tigris tigris,29.530014,78.774658,
2598674605,Panthera tigris,tigris,Panthera tigris tigris,27.328491,76.433167,
2598666428,Panthera tigris,tigris,Panthera tigris tigris,26.027479,76.455574,
2598665484,Panthera tigris,tigris,Panthera tigris tigris,29.530014,78.774658,
2598663275,Panthera tigris,tigris,Panthera tigris tigris,21.762953,79.339111,
2598661439,Panthera tigris,tigris,Panthera tigris tigris,26.028839,76.42408,
2598661312,Panthera tigris,tigris,Panthera tigris tigris,26.753288,91.216637,
2598661108,Panthera tigris,tigris,Panthera tigris tigris,26.027479,76.455574,
2597913024,Panthera tigris,tigris,Panthera tigris tigris,20.314069,79.202403,
2597905045,Panthera tigris,tigris,Panthera tigris tigris,20.329582,79.290922,
2597892052,Panthera tigris,tigris,Panthera tigris tigris,20.347149,79.231793,
2597865525,Panthera tigris,tigris,Panthera tigris tigris,21.65793,79.372336,
2597861566,Panthera tigris,tigris,Panthera tigris tigris,22.395806,80.495559,
2597859968,Panthera tigris,tigris,Panthera tigris tigris,26.187507,76.528712,
2597858570,Panthera tigris,tigris,Panthera tigris tigris,25.993051,76.433689,
2597847587,Panthera tigris,tigris,Panthera tigris tigris,23.443768,81.034386,
2597773843,Panthera tigris,tigris,Panthera tigris tigris,29.507913,78.651429,
2597760835,Panthera tigris,tigris,Panthera tigris tigris,29.571031,78.705822,
2597746577,Panthera tigris,tigris,Panthera tigris tigris,23.420853,81.128253,
2597724484,Panthera tigris,tigris,Panthera tigris tigris,21.719979,79.30424,
2596439175,Panthera tigris,tigris,Panthera tigris tigris,26.151748,76.478911,
2596267360,Panthera tigris,tigris,Panthera tigris tigris,11.713372,76.560437,
2596140343,Panthera tigris,tigris,Panthera tigris tigris,26.986031,77.140618,
2579267427,Panthera tigris,tigris,Panthera tigris tigris,26.197773,76.459376,
2579222462,Panthera tigris,tigris,Panthera tigris tigris,22.478994,78.563823,
2576489125,Panthera tigris,tigris,Panthera tigris tigris,21.642343,79.218694,
2574157081,Panthera tigris,tigris,Panthera tigris tigris,29.577274,79.04913,
2573883640,Panthera tigris,tigris,Panthera tigris tigris,22.265493,80.745853,
2573850787,Panthera tigris,tigris,Panthera tigris tigris,26.009877,76.451259,
2563590721,Panthera tigris,tigris,Panthera tigris tigris,26.643361,93.315701,
2563514585,Panthera tigris,tigris,Panthera tigris tigris,26.05856,76.450112,
2557813535,Panthera tigris,tigris,Panthera tigris tigris,26.068382,76.429942,
2557794199,Panthera tigris,tigris,Panthera tigris tigris,22.369153,80.673628,
2550153125,Panthera tigris,tigris,Panthera tigris tigris,27.489753,84.39397,
2550127183,Panthera tigris,tigris,Panthera tigris tigris,25.87599,76.353053,
2549985932,Panthera tigris,tigris,Panthera tigris tigris,26.096514,76.464425,
2543035259,Panthera tigris,tigris,Panthera tigris tigris,26.070612,76.51503,
2540821188,Panthera tigris,tigris,Panthera tigris tigris,20.388259,79.374928,
2518029428,Panthera tigris,tigris,Panthera tigris tigris,27.527313,84.526266,
2517958040,Panthera tigris,tigris,Panthera tigris tigris,16.132991,73.666527,
2465258706,Panthera tigris,tigris,Panthera tigris tigris,26.085737,76.531399,
2465243100,Panthera tigris,tigris,Panthera tigris tigris,26.023415,76.438317,
2465203442,Panthera tigris,tigris,Panthera tigris tigris,26.127126,76.429893,
